Date,Time,Outdoor air temperature °C,Outdoor relative humidity %,Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C
09/12/2020,16:00:00,29.150000000000002,30.5,10.058333333333334,29.150000000000002,28.241666666666664,27.453274500000003,38.0,39.3984,0.03741666666666666,35.199999999999996,28.416666666666668,14.075000000000001
09/12/2020,17:00:00,28.333333333333332,31.416666666666668,9.766666666666667,28.333333333333332,27.375,25.688082750000003,28.25,29.2896,0.034833333333333334,28.458333333333332,38.166666666666664,12.775
09/12/2020,18:00:00,24.916666666666668,39.166666666666664,10.016666666666667,24.916666666666668,24.400000000000002,22.27787616666667,3.5,3.6288,0.023000000000000003,22.775000000000002,44.166666666666664,9.916666666666666
09/12/2020,19:00:00,20.974999999999998,49.416666666666664,9.950000000000001,20.974999999999998,20.216666666666665,18.439694083333332,0.0,0.0,0.009166666666666667,19.325,53.0,9.491666666666667
09/12/2020,20:00:00,19.633333333333333,53.416666666666664,9.866666666666667,19.633333333333333,19.016666666666666,17.078865833333335,0.0,0.0,0.004416666666666667,17.633333333333333,58.333333333333336,9.333333333333334
09/12/2020,21:00:00,17.091666666666665,63.5,10.108333333333333,17.091666666666665,16.683333333333334,14.630058291666666,0.0,0.0,0.0,15.950000000000001,66.0,9.608333333333333
09/12/2020,22:00:00,15.299999999999999,67.5,9.275,15.299999999999999,14.825000000000001,12.999697166666666,0.0,0.0,0.0,14.383333333333333,70.91666666666667,9.166666666666666
09/12/2020,23:00:00,14.15,69.91666666666667,8.75,14.15,13.725,11.771898499999999,0.0,0.0,0.0,13.316666666666668,74.25,8.825000000000001
10/12/2020,00:00:00,13.15,73.25,8.458333333333334,13.15,12.783333333333333,10.843194583333334,0.0,0.0,0.0,12.466666666666667,76.41666666666667,8.441666666666666
10/12/2020,01:00:00,12.375,75.0,8.049999999999999,12.375,12.058333333333335,10.02806525,0.0,0.0,0.0,11.858333333333334,77.91666666666667,8.133333333333333
10/12/2020,02:00:00,12.5,74.91666666666667,8.166666666666666,12.5,12.200000000000001,10.1601935,0.0,0.0,0.0,11.966666666666667,78.83333333333333,8.391666666666667
10/12/2020,03:00:00,12.75,73.16666666666667,8.066666666666666,12.75,12.424999999999999,10.240296333333333,0.0,0.0,0.0,11.891666666666666,78.83333333333333,8.333333333333334
10/12/2020,04:00:00,11.950000000000001,75.0,7.6499999999999995,11.950000000000001,11.666666666666666,9.623090249999999,0.0,0.0,0.0,11.25,80.75,8.075
10/12/2020,05:00:00,11.341666666666667,76.83333333333333,7.425,11.341666666666667,11.158333333333333,9.20788825,0.0,0.0,0.0,10.766666666666666,81.83333333333333,7.816666666666666
10/12/2020,06:00:00,11.183333333333332,78.0,7.483333333333333,11.183333333333332,10.983333333333334,9.035961083333333,0.0,0.0,0.0,10.658333333333333,82.5,7.791666666666667
10/12/2020,07:00:00,11.108333333333334,77.83333333333333,7.375,11.108333333333334,10.924999999999999,9.034400916666668,5.166666666666667,5.3568,0.0,10.441666666666666,83.16666666666667,7.675
10/12/2020,08:00:00,12.65,72.75,7.858333333333333,12.65,12.308333333333332,11.28251075,46.333333333333336,48.0384,0.0,11.941666666666668,81.66666666666667,8.891666666666667
