Date,Time,Outdoor air temperature °C,Outdoor relative humidity %,Outdoor dew point °C,Thermal sensation °C,Heat index °C,THSW index°C,Solar radiation W/m^2,Solar radiation MJ/300s,Degree-days D-D,Indoor air temperature °C,Indoor relative humidity %,Indoor dew point °C,Saturation vapor pressure es (kPa),Actual vapor pressure ea (kPa),Vapor pressure deficit VPD (kPa),Slope vapor pressure curve Delta (kPa/C),Atmospheric pressure P (kPa),Psychrometric constant Gamma (kPa/C),Outdoor solar radiation Rs (MJ/m2/h),Indoor solar radiation Rs (MJ/m2/h),Extraterrestrial radiation Ra (MJ/m2/h),Clear-sky radiation Rso (MJ/m2/h),Net shortwave radiation Rns (MJ/m2/h),Net longwave radiation Rnl (MJ/m2/h),Net radiation Rn (MJ/m2/h),Soil heat flux G (MJ/m2/h),Evapotranspiration ETo (mm/h)
18/01/2021,08:00:00,11.925,61.66666666666666,4.75,11.925,11.333333333333334,10.483333333333333,28.416666666666668,29.4624,0.0,10.233333333333333,65.0,3.925,1.2472952375997344,0.8107419044398274,0.43655333315990696,0.08342070155157134,87.44448266783817,0.05815058097411239,0.1023,0.057288000000000006,0.9835469910060132,0.7621112214509194,0.04411176000000001,0.01550551708550296,0.028606242914497045,0.0028606242914497046,0.020670566420689148
18/01/2021,09:00:00,15.908333333333331,52.41666666666666,6.141666666666667,15.908333333333331,14.925,16.05,182.16666666666663,188.8704,0.0,17.441666666666666,53.083333333333336,7.675,1.992634473614742,1.0577567997438257,0.9348776738709164,0.12583446930412776,87.44448266783817,0.05815058097411239,0.6557999999999998,0.36724799999999996,1.9867179144112272,1.5394282431606836,0.28278095999999997,0.06428784865542496,0.218493111344575,0.0218493111344575,0.07567928391181006
18/01/2021,10:00:00,20.133333333333333,44.75,7.75,20.133333333333333,19.025,21.70833333333333,323.6666666666667,335.5776,0.0062499999999999,28.016666666666666,36.75,11.733333333333334,3.783600072532259,1.3904730266556051,2.3931270458766543,0.22026632932925239,87.44448266783817,0.05815058097411239,1.1652,0.6525120000000001,2.809905337747186,2.1772832500067842,0.50243424,0.10951394393120756,0.3929202960687925,0.03929202960687925,0.14995622371923728
18/01/2021,11:00:00,23.4,40.66666666666666,9.275,23.4,22.825,23.258333333333336,125.41666666666669,130.032,0.0175833333333333,39.31666666666667,23.5,14.541666666666666,7.111196811318048,1.671131250659741,5.440065560658307,0.38085351248430366,87.44448266783817,0.05815058097411239,0.45150000000000007,0.25284000000000006,3.3970103984950857,2.6322074773779023,0.19468680000000005,0.017035311071159846,0.1776514889288402,0.01776514889288402,0.11319028527546096
18/01/2021,12:00:00,25.866666666666664,38.333333333333336,10.55,25.866666666666664,25.266666666666666,24.85,64.58333333333333,66.96,0.0260833333333333,50.55833333333334,16.333333333333332,17.900000000000002,12.682851939923196,2.0715324835207887,10.611319456402407,0.6272364143630752,87.44448266783817,0.05815058097411239,0.23249999999999998,0.1302,3.7080228570019362,2.87319859097652,0.10025400000000001,0.017090378156358707,0.0831636218436413,0.00831636218436413,0.0985328676136371
18/01/2021,13:00:00,28.183333333333334,34.583333333333336,11.116666666666667,28.183333333333334,27.508333333333336,27.433333333333334,85.41666666666667,88.56,0.03425,58.958333333333336,11.916666666666666,19.508333333333333,18.99004327191432,2.26298015656979,16.72706311534453,0.8866592676996585,87.44448266783817,0.05815058097411239,0.3075,0.17220000000000002,3.721747728192892,2.883833444667544,0.13259400000000002,0.01768969676419143,0.11490430323580858,0.01149043032358086,0.11875136608995984
18/01/2021,14:00:00,29.191666666666663,32.583333333333336,11.058333333333332,29.191666666666663,28.508333333333336,30.058333333333334,185.41666666666663,192.24,0.03775,57.00833333333333,11.75,17.783333333333335,17.32690985994578,2.035911908543629,15.29099795140215,0.8197623185173124,87.44448266783817,0.05815058097411239,0.6674999999999999,0.37379999999999997,3.4372496847777074,2.6633872907468543,0.28782599999999997,0.018726044743246618,0.26909995525675334,0.026909995525675336,0.1696421774676311
18/01/2021,15:00:00,28.558333333333334,32.916666666666664,10.683333333333332,28.558333333333334,27.816666666666663,28.933333333333334,137.66666666666666,142.7328,0.0353333333333333,45.23333333333333,15.75,13.25,9.698059454204566,1.5274443640372193,8.170615090167347,0.49787166427603136,87.44448266783817,0.05815058097411239,0.49559999999999993,0.277536,2.873916798259883,2.226883170299653,0.21370272,0.019281305023532546,0.19442141497646748,0.01944214149764675,0.13069929522988002
18/01/2021,16:00:00,28.09166666666667,33.083333333333336,10.325,28.09166666666667,27.258333333333336,28.23333333333333,106.91666666666669,110.8512,0.03375,36.81666666666667,20.75,10.658333333333331,6.212426721355295,1.2890785446812236,4.923348176674072,0.3388147814761839,87.44448266783817,0.05815058097411239,0.3849000000000001,0.21554400000000007,2.0701392739039957,1.60406811777725,0.16596888000000007,0.018781889662021174,0.14718699033797888,0.01471869903379789,0.10323409784829818
18/01/2021,17:00:00,27.366666666666664,34.5,10.333333333333334,27.366666666666664,26.575000000000003,25.375,46.75,48.4704,0.03125,30.816666666666663,27.25,9.741666666666667,4.445913630589041,1.2115114643355138,3.2344021662535276,0.25344594826948946,87.44448266783817,0.05815058097411239,0.1683,0.09424800000000001,1.080693221689738,0.8373859497585104,0.07257096000000002,0.017835300206239225,0.05473565979376079,0.00547356597937608,0.06525912667872136
18/01/2021,18:00:00,24.116666666666664,44.833333333333336,11.366666666666667,24.116666666666664,23.825,21.925,1.0,1.0368,0.0201666666666666,25.391666666666666,36.25,9.333333333333334,3.2424372142608346,1.1753834901695526,2.067053724091282,0.1925532873410358,87.44448266783817,0.05815058097411239,0.0036,0.002016,0.1297431929399565,0.1005328104814547,0.00155232,0.01680243329298277,-0.01525011329298277,-0.001525011329298277,0.03563558047406495
18/01/2021,19:00:00,22.133333333333336,49.833333333333336,11.158333333333331,22.133333333333336,21.633333333333336,19.666666666666668,0.0,0.0,0.01325,22.0,41.833333333333336,8.408333333333333,2.6439311922105757,1.106044548741424,1.5378866434691516,0.16114508692644333,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.01643942928836179,-0.01643942928836179,-0.008219714644180896,0.03159105789369977
18/01/2021,20:00:00,19.575,56.0,10.541666666666666,19.575,19.075,17.150000000000002,0.0,0.0,0.0043333333333333,19.125,48.5,7.975,2.214587943942874,1.0740751528122938,1.1405127911305801,0.1380206781726461,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015983997996002395,-0.015983997996002395,-0.007991998998001197,0.026046969010278646
18/01/2021,21:00:00,17.275000000000002,61.0,9.666666666666666,17.275000000000002,16.758333333333333,14.766666666666666,0.0,0.0,0.0,16.900000000000002,53.833333333333336,7.466666666666666,1.9254836024660276,1.0365520059942115,0.8889315964718161,0.12211265844598751,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015706197942965433,-0.015706197942965433,-0.007853098971482717,0.02193832770581258
18/01/2021,22:00:00,15.966666666666669,62.25,8.716666666666667,15.966666666666669,15.375,13.325,0.0,0.0,0.0,15.341666666666669,57.333333333333336,6.958333333333333,1.7432220331454384,0.9994472990033848,0.7437747341420536,0.11192180489227685,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015571784081287229,-0.015571784081287229,-0.007785892040643614,0.019333746250449143
18/01/2021,23:00:00,14.8,66.58333333333333,8.633333333333333,14.8,14.3,12.225,0.0,0.0,0.0,14.233333333333334,60.75,6.75,1.6229722530868447,0.9859556437502582,0.6370166093365864,0.10512159863948328,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015406531535511516,-0.015406531535511516,-0.007703265767755758,0.017120975464293964
19/01/2021,00:00:00,14.708333333333334,65.25,8.25,14.708333333333334,14.15,12.1,0.0,0.0,0.0,13.783333333333331,61.5,6.516666666666667,1.5762660147996095,0.9694035991017598,0.6068624156978497,0.10246267617681794,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015399526732474337,-0.015399526732474337,-0.007699763366237168,0.016546909585951716
19/01/2021,01:00:00,14.05,67.91666666666667,8.191666666666666,14.05,13.558333333333332,11.491666666666667,0.0,0.0,0.0,13.358333333333334,64.0,6.7,1.533241803938417,0.9812747545205869,0.5519670494178301,0.10000421625467763,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015244777416013617,-0.015244777416013617,-0.0076223887080068085,0.01518432348140246
19/01/2021,02:00:00,14.675,65.83333333333333,8.333333333333334,14.675,14.116666666666667,12.05,0.0,0.0,0.0,13.658333333333331,63.5,6.858333333333333,1.563503215989576,0.9928245421533808,0.5706786738361953,0.1017343208104657,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015246844329130007,-0.015246844329130007,-0.0076234221645650035,0.015554066518397431
19/01/2021,03:00:00,13.983333333333334,68.41666666666667,8.258333333333333,13.983333333333334,13.491666666666667,11.466666666666669,0.0,0.0,0.0,13.175,65.25,6.783333333333334,1.5150028628011862,0.988539367977774,0.5264634948234123,0.09895930510565525,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015167093585002376,-0.015167093585002376,-0.007583546792501188,0.014525807855777867
19/01/2021,04:00:00,13.55,69.91666666666667,8.158333333333333,13.55,13.1,11.05,0.0,0.0,0.0,13.158333333333331,66.58333333333333,7.075,1.513354260112157,1.0076417115246779,0.5057125485874792,0.09886477565413944,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015062490223030715,-0.015062490223030715,-0.0075312451115153575,0.0139053473856606
19/01/2021,05:00:00,13.4,69.16666666666667,7.866666666666667,13.4,12.958333333333334,10.9,0.0,0.0,0.0,12.891666666666666,66.91666666666667,6.9,1.4871899368405765,0.9951779327358191,0.4920120041047574,0.09736272304245285,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015072046219820764,-0.015072046219820764,-0.007536023109910382,0.013640455257350408
19/01/2021,06:00:00,13.358333333333334,70.08333333333333,8.0,13.358333333333334,12.95,10.858333333333334,0.0,0.0,0.0,12.916666666666666,67.75,7.091666666666666,1.4896258560403688,1.0092215174673498,0.480404338573019,0.09750271019581315,87.44448266783817,0.05815058097411239,0.0,0.0,0.0,0.0,0.0,0.015003412857472394,-0.015003412857472394,-0.007501706428736197,0.013270205907258666
19/01/2021,07:00:00,13.45,69.83333333333333,8.049999999999999,13.45,13.0,11.041666666666666,7.583333333333333,7.8624,0.0,12.983333333333334,68.16666666666667,7.216666666666666,1.496138772933716,1.0198679302164833,0.47627084271723286,0.09787684715945054,87.44448266783817,0.05815058097411239,0.027299999999999998,0.015288,0.08549302178241017,0.06624512285831834,0.01177176,0.05613150957979986,-0.04435974957979986,-0.004435974957979986,0.005484226299675641
19/01/2021,08:00:00,13.841666666666669,69.41666666666667,8.325000000000001,13.841666666666669,13.391666666666666,13.058333333333332,45.75,47.4336,0.0,14.133333333333333,67.41666666666667,8.174999999999999,1.6124894741311941,1.0870866538101134,0.5254028203210808,0.10452571246064382,87.44448266783817,0.05815058097411239,0.16469999999999999,0.092232,0.985659891073443,0.7637484231971681,0.07101864,0.014852677756025315,0.05616596224397468,0.005616596224397468,0.027922995576746722
19/01/2021,09:00:00,15.65,65.66666666666667,9.225,15.65,15.183333333333332,15.958333333333334,111.58333333333331,115.6896,0.0,17.691666666666666,62.833333333333336,10.5,2.024312727515955,1.271943163789192,0.7523695637267631,0.1275844026483908,87.44448266783817,0.05815058097411239,0.40169999999999995,0.22495199999999999,1.9907029496564947,1.5425160875708315,0.17321303999999998,0.01464349623451319,0.1585695437654868,0.01585695437654868,0.05686848183448313
19/01/2021,10:00:00,19.1,57.16666666666666,10.408333333333331,19.1,18.6,20.816666666666663,224.58333333333331,232.848,0.003,24.58333333333333,48.833333333333336,13.016666666666666,3.090002606796927,1.5089512729858328,1.5810513338110943,0.18463544592128797,87.44448266783817,0.05815058097411239,0.8084999999999999,0.45276,2.815897240850611,2.1819261360455044,0.3486252,0.04053033152746359,0.3080948684725364,0.030809486847253643,0.11275913749779926
19/01/2021,11:00:00,21.633333333333336,52.0,11.35,21.633333333333336,21.041666666666668,23.35833333333333,251.58333333333331,260.8416,0.0114166666666666,30.325,38.083333333333336,14.391666666666666,4.322805153307675,1.6462682958846728,2.676536857423002,0.24733424649730446,87.44448266783817,0.05815058097411239,0.9057,0.507192,3.4050071374089628,2.6384038304927087,0.39053783999999997,0.031523846874748095,0.3590139931252519,0.035901399312525194,0.14398490543755732
